RSTRNT_ID,RSTRNT_CTGRY_NM,RSTRNT_NM,RSTRNT_ROAD_NM_ADDR,RSTRNT_LNM_ADDR,RSTRNT_TEL_NO,RESVE_POSBL_AT,SLE_VGTR_MENU_INFO_DC,RSTRNT_LA,RSTRNT_LO
71547,한식,해인식당,경상남도 합천군 가야면 가야산로 1340,경상남도 합천군 가야면 구원리 104-1,559331117,N,"도토리비빕밥 세트1인분(4인분 이상),도토리비빔밥",35.7776301,128.1269411
72522,중식,태화원,인천광역시 중구 차이나타운로59번길 10,인천광역시 중구 선린동 22,327668688,N,"자연송이밥,잡채밥",37.4740217,126.6185615
202,한정식,한뫼촌,서울특별시 종로구 북촌로 24-4,서울특별시 종로구 재동 46-8,27665539,N,"채소반,해물파전",37.5790212,126.9855911
86472,한식,초록뜰식당,서울특별시 동대문구 망우로18길 6,서울특별시 동대문구 휘경동 276-57,222131878,N,"두부두루치기,모두부,묵무침 소,묵밥,버섯전골",37.5896281,127.0623731
93193,한정식,화련정,경상남도 창원시 성산구 용지로 90 공성상가,경상남도 창원시 성산구 중앙동 95-3 공성상가 2층,552669120,N,"된장뚝배기 (1인분),들깨찜 대,들깨찜 소,버섯전골 (2인분)",35.2236571,128.6775961
149384,사찰음식,아승지,서울특별시 영등포구 신길로 176,서울특별시 영등포구 신길동 223-17,28327595,N,"아승지 저녁 코스,아승지 정식",37.5078509,126.9112138
153377,한식,백운식당,경상남도 합천군 가야면 치인1길 13-23 백운식당,경상남도 합천군 가야면 치인리 1230-85,559327393,N,"더덕구이,도토리비빔밥,도토리비빔밥세트,채식나물밥상",35.7905599,128.087613
1087,사찰음식,발우공양,서울특별시 종로구 우정국로 56,서울특별시 종로구 견지동 71,27332081,Y,"마음식,선식(점심 한정 메뉴),원식,희식(사전 예약 메뉴)",37.5739619,126.983228
651901,한식뷔페,뜰안채채식뷔페,경기도 용인시 기흥구 용구대로2335번길 25,경기도 용인시 기흥구 마북동 502-13,312815879,N,"저녁(5~7세),저녁(중학생~성인),저녁(초등학생),점심(5~7세),점심(중학생~성인),점심(초등학생),성인(중학생이상) 점심,성인(중학생이상) 저녁,유아(5~7세) 저녁,유아(5",37.2967256,127.1076748
458889,"카페,디저트",러빙헛 카페,서울특별시 강남구 개포로22길 35,서울특별시 강남구 개포동 1218-16,25762158,N,"비건피자,소이라떼,아포가토",37.4769089,127.0494592
524245,한식뷔페,한과채,서울특별시 종로구 인사동10길 13,서울특별시 종로구 관훈동 30-9,27202802,N,채식뷔페 1인,37.5743587,126.9857345
535010,양식,슬런치 팩토리,서울특별시 마포구 와우산로3길 38,서울특별시 마포구 상수동 336-18,263679870,N,"가지 시금치 파스타,그린빈 토마토 리조또,그린시금치뇨끼_비건,단호박다크초코케익,루꼴라버섯고르곤졸라 피자,모로칸샐러드 & 후무스 & 피타,버섯 두유 크림 리조또,시금치크림커리,아보카",37.545865,126.9208467
611452,한식,팥이야기,경상남도 창원시 마산합포구 중앙남3길 46,경상남도 창원시 마산합포구 신흥동 1-17,50713719355,N,"깨죽,새알팥죽,콩죽,팥칼국수",35.1960725,128.5654837
