code,Id,category,area_code,address,Latitude,Longitude,name,information,image
1,2508606,1,32,강원특별자치도 양구군 해안면 해안서화로 35,38.2898662,128.14551,양구DMZ,강원도 양구DMZ는 군사 통제구역으로 잘 보존된 자연경관을 둘러볼 수 있는 생태관광지다. 양구하면 펀치볼을 빼놓을 수 없다. 펀치볼은 해안면에 위치한 해발 400∼500m 고지대에 발달한 분지로...,http://tong.visitkorea.or.kr/cms/resource/19/2668219_image2_1.jpg
2,2508609,1,34,충청남도 태안군 원북면 신두해변길 291-30,36.8362907,126.1960542,두웅습지,"태안 두웅습지는 총면적이 6만5,000㎡ 규모로 신두리 해안사구 남쪽에 형성된 배후습지다. 원래는 바다였지만 이곳에 해안사구가 형성되면서 사구지대와 배후 산지 골짜기의 경계 부분에 담수...",
3,2508610,1,38,전라남도 무안군 해제면 용산길 140,35.099646,126.3292114,무안갯벌,"무안갯벌의 면적은 147.6㎢로 전국 갯벌면적 2,489.4㎢의 5.9%를 차지하고 있다. 특히, 전라남도 무안군 현경면과 해제면 일대 42㎢는 2001년 12월 28일 국내 최초 갯벌습지보호지역으로 지정되었다. ...",http://tong.visitkorea.or.kr/cms/resource/86/2508586_image2_1.jpg
4,2508616,1,7,울산광역시 울주군 삼동면 조일리 일원,35.4852269,129.1212653,무제치늪,"국내에서 가장 오래된 산지 습지인 무제치늪은 울산광역시에 자리한 정족산 능선에 형성된 고층습지다. 총 4개 늪으로 이루어져 있으며, 등록 면적은 4만㎡다. 제1늪은 해발 510m, 제2늪은 해발 5...",
5,2508628,1,38,전라남도 순천시 순천만길 513-25,34.885679,127.5094304,순천만 자연생태공원,전남 순천시 순천만은 고흥반도와 여수반도 사이에 형성된 만으로 우리나라의 대표적인 연안 습지다. 순천만에는 다양하고 풍부한 습지 생물이 서식하고 있어 습지 연구에 매우 중요한 지역...,http://tong.visitkorea.or.kr/cms/resource/79/2508579_image2_1.jpg
6,2508635,1,36,경상남도 창녕군 유어면 우포늪길 220,35.5445099,128.418417,창녕군 우포늪,"창녕 우포늪은 경상남도 창녕군 이방면에서 유어면, 대합면에 걸쳐 있는 늪지성 호수로 면적이 231만4,049㎡(약 70만 평)에 달하는 국내 최대의 자연 늪이다. 우포·목포·쪽지벌·사지포 등 4개 늪...",
7,2508649,1,39,제주특별자치도 제주시 구좌읍 해녀박물관길 26,33.523385,126.8622061,제주도 하도리 숨비소리길(하도리밭담길),"하도리는 제주의 동북쪽에 위치하며 해안가를 중심으로 마을이 형성된 곳으로 푸른 바다와 하얀 백사장, 뛰어난 절경의 해안도로, 수십 종의 철새도래지로 유명한 마을이다. 이곳 마을에는 제...",http://tong.visitkorea.or.kr/cms/resource/21/2675721_image2_1.JPG
8,2508660,1,2,인천광역시 강화군 일대,37.7065047,126.4433977,"강화도 남단(여차리, 선두리 해안)","규모가 약 3억4,800만㎡에 이르는 강화도 갯벌은 세계 5대 갯벌 중 하나이자 우리나라 최대 규모의 연안 습지다. 강화도 갯벌은 한강에서 흘러들어 오는 각종 오염물질을 자연 정화시켜 바다로 ...",
9,2508663,1,38,전라남도 보성군 벌교읍 장호길 368,34.827316,127.3940466,보성 벌교 갯벌,"보성 벌교갯벌은 벌교천 하구에 위치한 연안 습지로서 전남 보성군 벌교읍 고흥군·호동리·장양리·영등리·장암리·대포리 일대를 포함하며 면적은 1,030만㎡에 이른다. 벌교갯벌은 멸종위기 ...",http://tong.visitkorea.or.kr/cms/resource/96/2508596_image2_1.jpg
10,2508664,1,39,제주특별자치도 서귀포시 성산읍 일출로 284-12,33.4621008,126.9362017,서귀포시 성산포,"유네스코 세계자연유산에 등재된 생태 여행지를 많이 품고 있는 제주도에서도 성산포는 더 특별하다. 2007년에 유네스코 세계자연유산 등재, 2010년에 세계지질공원에 등재된 성산일출봉을 품...",
11,2508681,1,34,충청남도 서산시 부석면 간월도1길 119-29,36.6037742,126.4111579,서산시 천수만,천수만은 천해성 내만으로 충청남도 서산시를 기준으로 태안군 안면읍과 보령시 사이에 있다. 세계적인 규모의 철새 도래지인 천수만은 1980년 농경지 담수호 조성을 위한 간척사업과 방조제 ...,http://tong.visitkorea.or.kr/cms/resource/89/2508589_image2_1.jpg
12,2508714,1,2,인천광역시 중구 운남서로 100,37.4938542,126.531458,영종도,인천광역시 중구에 속하는 영종도는 우리나라에서 일곱 번째로 큰 섬이다. 원래는 제비가 많다 하여 ‘자연도(紫燕島)’라는 이름으로 불렸다. 영종도는 간석지가 발달하여 간조 때면 주위의 ...,
